awb_number,activity,bucket
GS7074468473,Assigned to DE Line Lingam (7095523065),DE Assignment
GS1912102576,Assigned to DE Shashank Sharma (8431111750),DE Assignment
GS3372163939,Assigned to DE Vigneshwari P (8189840232),DE Assignment
GS1174161322,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS1305475935,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS1618534983,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS1663955388,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS1678440103,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS1760812257,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS2107330367,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS2341540556,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS2732021142,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS2840858295,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3018241377,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3018278353,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3177724725,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3356246284,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3418496535,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3777675160,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3791229639,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3950336749,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS4098387678,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS4180005149,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS4391461107,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS4525218933,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS4768831731,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS4977133495,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS5158754965,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS5225809567,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS5492344989,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS5635060537,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS5852223263,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS5911923068,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS6025926450,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS6097089598,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS6285802946,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS6330526260,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS6403314159,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS6922300276,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7071905547,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7361356351,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7476302199,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7531725285,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7758815389,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7802841211,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7832240244,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7955133114,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS8232599852,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS8282659081,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS8938625678,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
